model1 english_fr_finetuned
{}
model1 <VectorSpaceModel 'english_fr_finetuned' with 12,825 vectors>
{}
length of vocab: 12825
aspiration,ambition,0.6450541019439697,None,10,13,True
avions,avons,0.8075484037399292,0.7486393451690674,215,584,False
baltes,membres,0.7191237807273865,None,15,745,False
aurions,avons,0.797959566116333,0.7774649858474731,124,584,False
recommandation,proposition,0.7677534818649292,0.664641797542572,85,372,False
toutefois,cependant,0.8561562895774841,0.8526563048362732,378,63,False
cependant,toutefois,0.8159812092781067,0.8093394637107849,275,83,False
soyons,sommes,0.8279479742050171,0.6693874597549438,84,259,False
seraient,seront,0.8302218914031982,0.8179184794425964,183,158,False
agissait,agit,0.9019857048988342,0.8978676795959473,107,223,False
faudra,faut,0.831463634967804,0.8034002780914307,69,228,False
conservateurs,travaillistes,0.7002742290496826,0.6858018636703491,271,24,False
pourront,peuvent,0.8939931392669678,0.8863366842269897,140,137,False
parlementaires,groupes,0.7551907300949097,0.7223314046859741,186,88,False
analyse,approche,0.7292496562004089,0.6781072616577148,132,124,False
mettra,mettre,0.5902684926986694,0.5694903135299683,29,225,False
puisque,lorsque,0.6715022921562195,0.6218006610870361,107,147,False
ayez,avez,0.8590778112411499,0.8447703123092651,26,199,False
jours,semaines,0.8207656145095825,0.8071597218513489,182,42,False
aviez,avez,0.8136773109436035,0.800871729850769,24,199,False
rencontre,semaine,0.6799329519271851,0.6434754133224487,63,155,False
volet,programme,0.7000203728675842,None,17,192,False
agences,organisations,0.8269577026367188,0.7169898748397827,166,42,False
auraient,avaient,0.8403710722923279,0.7624558210372925,144,63,False
permet,permettra,0.8007575869560242,0.7469688653945923,154,52,False
commentaires,remarques,0.8794001936912537,0.8469192981719971,163,43,False
allons,devrons,0.8388476967811584,0.8031506538391113,179,24,False
juridiques,communautaires,0.7665780186653137,0.7334075570106506,150,51,False
saluer,remercier,0.731548547744751,0.5889774560928345,82,115,False
maintenir,consolider,0.6571007966995239,0.6160266399383545,176,11,False
calendrier,document,0.690998911857605,0.6577649712562561,138,48,False
devenir,rester,0.6642055511474609,0.635898768901825,147,37,False
presque,huit,0.6460700035095215,0.5140315294265747,156,24,False
participer,contribuer,0.6957924365997314,0.6734188199043274,129,48,False
publiques,communautaires,0.7747365236282349,0.7707141637802124,122,51,False
souhaitons,pourrons,0.7990664839744568,0.7855923175811768,126,45,False
militaires,nationales,0.7379962205886841,0.679872989654541,126,44,False
professionnels,travailleurs,0.7926239967346191,0.7329044938087463,65,105,False
devront,pourront,0.877982497215271,0.8549671769142151,126,43,False
maintien,renforcement,0.7799266576766968,0.7442592978477478,132,36,False
utilisateurs,travailleurs,0.837561309337616,0.7690805196762085,59,105,False
souhaitent,veulent,0.778492271900177,0.6986414790153503,126,38,False
soutenons,saluons,0.765684962272644,0.7569814920425415,145,18,False
chercher,continuer,0.7351412773132324,0.6065173745155334,81,82,False
chaleureusement,remercier,0.7355817556381226,0.7159074544906616,47,115,False
vivement,instamment,0.7378495931625366,0.7071465253829956,123,38,False
chimiques,alimentaires,0.6915104389190674,0.6796121597290039,126,31,False
pourtant,malheureusement,0.6607471704483032,0.6409119367599487,125,31,False
chiffres,changements,0.7503960132598877,0.7034692764282227,111,41,False
fassent,font,0.6609208583831787,0.6505304574966431,70,81,False
anciens,nationaux,0.7048009634017944,0.6031893491744995,72,74,False
heureuse,heureux,0.7868423461914062,0.7216507196426392,59,86,False
maintes,plusieurs,0.65506911277771,0.5384193658828735,42,101,False
racisme,terrorisme,0.7573270797729492,0.6990305185317993,59,84,False
environnementale,sociale,0.7541297674179077,0.7306009531021118,68,71,False
demandes,recherches,0.7261660099029541,0.7231147289276123,106,32,False
rechercher,trouver,0.7167912721633911,0.6311379671096802,51,86,False
fondamental,vital,0.6781087517738342,0.6605620384216309,92,42,False
estimons,pensons,0.8484874367713928,0.8084190487861633,91,42,False
transit,transport,0.6183949708938599,None,34,99,False
vais,veux,0.8961484432220459,0.885703444480896,79,51,False
existants,communautaires,0.8130719661712646,0.7892923355102539,77,51,False
vois,comprends,0.8131617903709412,0.8124042749404907,102,25,False
terminer,conclure,0.6758468747138977,0.6746429204940796,80,47,False
croyons,pensons,0.7620071172714233,0.7281564474105835,85,42,False
affirmer,admettre,0.7037942409515381,None,101,25,False
conservateur,travailliste,0.8337047696113586,0.780673623085022,87,37,False
diverses,communautaires,0.7438838481903076,0.7279744148254395,71,51,False
criminels,terroristes,0.8203825950622559,0.7050052881240845,84,38,False
centaines,milliers,0.8319457769393921,0.7747478485107422,88,33,False
voudrions,pourrons,0.8396490216255188,0.8298594951629639,75,45,False
prend,prenne,0.6621242165565491,0.5890954732894897,103,17,False
environnementaux,communautaires,0.8035262823104858,0.7380931377410889,68,51,False
fondamentale,essentielle,0.7140443325042725,0.7138397693634033,83,36,False
envoyer,adresser,0.653438925743103,0.6088595390319824,105,12,False
personnellement,surpris,0.6661101579666138,0.5901370644569397,100,16,False
entreprendre,envisager,0.6748975515365601,0.636731743812561,61,54,False
existantes,communautaires,0.7821054458618164,0.7269086837768555,63,51,False
organes,organisations,0.8596056699752808,0.7997938990592957,72,42,False
amener,contribuer,0.6549258232116699,0.5764052271842957,66,48,False
faisaient,font,0.6444534063339233,None,31,81,False
traditions,principes,0.6848921179771423,None,47,64,False
inviter,instamment,0.7080385684967041,0.6797155141830444,73,38,False
signaler,rappeler,0.6609687805175781,0.6561789512634277,76,34,False
tente,entend,0.6590892672538757,0.5908666849136353,80,29,False
trilogue,sommet,0.7017185688018799,None,29,80,False
