model1 scotland_fr_finetuned
{}
model1 <VectorSpaceModel 'scotland_fr_finetuned' with 6,051 vectors>
{}
length of vocab: 6051
pourront,devraient,0.8776881098747253,0.8358397483825684,43,301,False
cependant,toutefois,0.8190021514892578,0.7722378969192505,63,176,False
souhaite,souhaiterais,0.8631671667098999,0.8622661232948303,99,84,False
paquet,texte,0.7692391872406006,0.7351244688034058,58,109,False
crois,regrette,0.8670426607131958,0.8535344004631042,93,64,False
africains,candidats,0.7322084903717041,0.6948447227478027,15,128,False
renforcement,maintien,0.7307684421539307,0.682077944278717,36,97,False
instructions,directives,0.5343133211135864,None,15,116,False
dirigeants,partenaires,0.7366901636123657,0.7007548809051514,52,74,False
heureuse,heureux,0.7030363082885742,0.6316841244697571,15,106,False
pourtant,malheureusement,0.5530933141708374,0.5396534204483032,45,76,False
permettrait,permettra,0.7494326829910278,0.7444497346878052,25,96,False
historiques,fondamentaux,0.731357216835022,None,14,94,False
cabillaud,renouvellement,0.626090407371521,0.5922338962554932,87,12,False
internationaux,commerciaux,0.7157484292984009,0.7074810862541199,40,58,False
whisky,tourisme,0.7066109776496887,0.5576909184455872,25,72,False
maintenir,instaurer,0.6373740434646606,0.6124294996261597,47,47,False
poids,recyclage,0.6189489364624023,None,26,67,False
agriculteurs,chercheurs,0.7675180435180664,0.7292377948760986,67,26,False
partis,prisonniers,0.7536180019378662,0.7483081817626953,49,44,False
soutiendra,soutient,0.629961371421814,0.6040509939193726,22,64,False
terroristes,criminels,0.7975142598152161,0.7883470058441162,38,48,False
demandons,attendons,0.8032423257827759,0.8025755882263184,29,55,False
profiter,assumer,0.6309261918067932,0.6023224592208862,24,58,False
appelle,exhorte,0.8110443353652954,0.803825318813324,60,20,False
auxquelles,auxquels,0.7197057008743286,0.6740235686302185,19,61,False
aurons,ayons,0.8339806795120239,0.8142423629760742,22,56,False
fallait,faudrait,0.7677407264709473,0.7267998456954956,11,67,False
parlements,conseils,0.7526593208312988,0.711214542388916,37,39,False
souhaitons,allons,0.7519642114639282,0.7369786500930786,18,55,False
environnementales,existantes,0.7966768741607666,0.738507866859436,24,49,False
doive,devra,0.8447996377944946,0.7549313902854919,10,62,False
mette,met,0.648853600025177,0.6144021153450012,15,56,False
faits,sujets,0.7194669842720032,0.7134897708892822,36,34,False
appartient,incombe,0.7879823446273804,0.7573554515838623,20,50,False
chapitre,calendrier,0.7557621002197266,0.7182458639144897,10,60,False
paiements,banques,0.7739554643630981,0.7532140612602234,28,41,False
fonctionner,cesser,0.6744293570518494,0.6692826747894287,24,45,False
accueille,approuve,0.8688656091690063,0.8513891100883484,23,45,False
allait,pouvait,0.7258334755897522,0.7093364000320435,11,56,False
revient,appartient,0.673340380191803,0.6379070281982422,24,41,False
regarder,penser,0.5881469249725342,0.4669707715511322,13,51,False
prononcer,pencher,0.6146386861801147,0.6118857264518738,10,53,False
prouver,penser,0.6011922359466553,0.5712788105010986,12,51,False
professionnels,frais,0.702400267124176,0.6855786442756653,14,48,False
montrent,seuls,0.6198518872261047,0.6176856160163879,22,39,False
vivement,demanderai,0.6710368394851685,0.5871472954750061,22,39,False
reconnaissant,personnellement,0.6434193253517151,None,18,43,False
existants,fiscaux,0.7222285270690918,0.6901184320449829,29,31,False
adopte,exige,0.6536916494369507,0.583448052406311,13,47,False
crains,dirais,0.8811948299407959,0.8778682947158813,29,30,False
insulaires,urbaines,0.76714026927948,0.7587504982948303,15,42,False
cellules,campagnes,0.7857735753059387,0.7461317777633667,19,38,False
harmonisation,instauration,0.7584450244903564,0.6758524775505066,26,31,False
agisse,agissait,0.8562170267105103,0.8548640012741089,18,39,False
proches,faibles,0.7240046858787537,0.6023321151733398,15,41,False
rejoindre,quinze,0.6168633103370667,0.5856709480285645,28,28,False
conviens,dirai,0.8370537757873535,0.7865071892738342,12,43,False
approuver,entamer,0.7044965028762817,0.6321932673454285,20,35,False
fondamentales,minimales,0.7392076253890991,0.7350559234619141,32,22,False
prenons,connaissons,0.7731977701187134,0.7139480113983154,14,40,False
indique,affirme,0.636062502861023,0.6101574897766113,20,33,False
permettront,permettent,0.69727623462677,0.6836146116256714,17,36,False
dauphins,souffrances,0.7130443453788757,None,27,25,False
socialistes,verts,0.7603210210800171,0.6933648586273193,23,29,False
pourcentage,seuil,0.753521203994751,0.6329468488693237,20,31,False
reconstruire,reprendre,0.6558277606964111,0.5589843988418579,19,31,False
comprends,serais,0.8440955877304077,0.8306217789649963,25,24,False
abattage,instauration,0.7129949331283569,0.6380668878555298,18,31,False
juridiques,professionnelles,0.7413424253463745,0.7055248022079468,31,18,False
rejets,traitements,0.7526636123657227,0.7187366485595703,23,26,False
serions,serons,0.7858729958534241,0.7559271454811096,13,35,False
provenant,proviennent,0.7221922874450684,0.7121168375015259,21,27,False
semblent,devaient,0.8009328842163086,0.7838118672370911,21,23,False
limites,usines,0.7315983772277832,0.6648284792900085,25,19,False
preuves,conducteurs,0.72475266456604,0.6538397669792175,26,18,False
partager,remplir,0.6060982942581177,0.5956459045410156,16,28,False
prenne,prendra,0.6854056715965271,0.6488691568374634,17,26,False
organes,organismes,0.7848860621452332,0.7242221236228943,14,28,False
nourriture,carburant,0.6806967258453369,0.6734893918037415,21,21,False
approuve,applaudis,0.8827415704727173,0.880003809928894,26,16,False
renouvelables,biocarburants,0.7773934602737427,0.6409084796905518,20,22,False
permettent,administratives,0.692857027053833,0.6710759997367859,16,25,False
entamer,organiser,0.6433323621749878,0.6362842321395874,16,25,False
outils,organismes,0.7543745040893555,0.7216325998306274,13,28,False
soutenons,saluons,0.8191991448402405,0.7735224962234497,23,18,False
venez,pourriez,0.7267560362815857,0.6076066493988037,14,26,False
constituait,garantit,0.6744234561920166,0.6267135143280029,11,29,False
mettent,mettant,0.7386353015899658,0.6984003782272339,18,22,False
pressions,lacunes,0.7703342437744141,0.7593260407447815,17,23,False
potentiels,recettes,0.7511287927627563,0.6372498273849487,19,20,False
portes,chercheurs,0.7651700377464294,0.6984829902648926,13,26,False
surmonter,compenser,0.6796246767044067,None,15,23,False
prennent,voulaient,0.6842924356460571,0.6587197780609131,25,13,False
fermiers,souffrances,0.8079268932342529,0.7405353784561157,13,25,False
satisfait,surpris,0.6156339049339294,0.5498366355895996,19,18,False
doutes,attentes,0.7219460606575012,0.6914647817611694,13,24,False
honteux,scandaleux,0.6741775274276733,0.6039367914199829,13,24,False
exactement,scientifiquement,0.5911922454833984,0.5531245470046997,25,11,False
remarquable,constructif,0.6473660469055176,None,15,21,False
pensent,estiment,0.701504111289978,0.6454958915710449,16,20,False
constructif,significatif,0.6905982494354248,0.6263715028762817,12,24,False
routier,transferts,0.6931905746459961,0.6208865642547607,17,19,False
disent,craignent,0.6936603784561157,0.6747948527336121,20,15,False
judiciaires,professionnelles,0.8079588413238525,0.682283878326416,17,18,False
futurs,professionnelles,0.7777560949325562,None,17,18,False
parlementaires,allemands,0.6928414106369019,0.6523061394691467,23,11,False
tentatives,professionnelles,0.7508805990219116,0.6849038600921631,16,18,False
principalement,exploitants,0.6276852488517761,0.587367594242096,19,15,False
gravement,durement,0.6825917959213257,None,10,23,False
accises,tarifs,0.7395516633987427,0.6426233053207397,15,18,False
associer,appels,0.6739751100540161,0.6659916639328003,10,23,False
inclure,affecter,0.6584166288375854,0.6471126079559326,23,10,False
connaissent,fournissent,0.7175219655036926,0.6567626595497131,16,17,False
environnementaux,professionnelles,0.7551803588867188,0.6882378458976746,15,18,False
statistiques,montagnes,0.7028306722640991,0.6539857983589172,22,11,False
pouvaient,devaient,0.7968921661376953,0.791128396987915,10,23,False
calendrier,renouvellement,0.7711544036865234,0.6787550449371338,20,12,False
adoptant,profondeur,0.6956380009651184,0.66997230052948,11,21,False
autobus,transferts,0.6470588445663452,None,13,19,False
essentielles,identiques,0.7472449541091919,0.6962054967880249,19,13,False
embryons,antibiotiques,0.762061595916748,None,13,19,False
erreurs,cheptels,0.7451759576797485,None,22,10,False
apportent,touchent,0.6416483521461487,0.5737223625183105,19,12,False
quinze,vingt,0.6895351409912109,0.6212766766548157,10,21,False
partageons,saluons,0.779568076133728,0.705206573009491,13,18,False
accepte,ajouterai,0.8288653492927551,0.8019485473632812,20,11,False
voies,professionnelles,0.7338459491729736,0.6739698052406311,13,18,False
marchandises,additifs,0.7247833013534546,0.6998884677886963,19,12,False
naturelles,animales,0.7802145481109619,0.6647383570671082,18,13,False
rendra,justifie,0.6849212050437927,0.6487883925437927,12,19,False
suffisante,saine,0.7152122259140015,0.6432385444641113,13,17,False
tragique,honteux,0.6657215356826782,None,11,19,False
occuper,acquitter,0.7779988050460815,0.7533119916915894,20,10,False
ressortissants,professionnelles,0.7781000137329102,0.7259513139724731,12,18,False
pourrais,voulais,0.8547291159629822,0.8546350002288818,11,18,False
comprennent,fournissent,0.7536522150039673,None,12,17,False
soutiendrons,saluons,0.7969985008239746,None,11,18,False
soutenue,suivie,0.6939413547515869,0.6713441610336304,18,11,False
palestinienne,enveloppe,0.6501075029373169,0.589654803276062,10,19,False
irlandais,finlandais,0.6593166589736938,None,18,11,False
conservateur,travailliste,0.7065000534057617,0.5485945343971252,18,11,False
essentiellement,annuelle,0.5941205024719238,0.5396928787231445,17,12,False
administratives,professionnelles,0.794396162033081,0.7245495319366455,11,18,False
lacunes,professionnelles,0.7248252630233765,0.6678801774978638,10,18,False
sauver,geler,0.6624419689178467,0.5467128753662109,15,13,False
conduire,cultiver,0.6608388423919678,0.5966795682907104,16,12,False
susceptibles,vendus,0.7979982495307922,0.6567460894584656,14,14,False
appuie,applaudis,0.7727751135826111,0.7291409969329834,12,16,False
humanitaires,religieuses,0.7512848377227783,None,11,17,False
souscris,voulais,0.8483736515045166,0.818636417388916,10,18,False
amener,affecter,0.5978635549545288,None,17,10,False
concernent,touchent,0.7220760583877563,0.5617287158966064,15,12,False
scandaleux,judicieux,0.7520409822463989,0.7104948163032532,10,16,False
comporte,soutiendront,0.709831178188324,0.6195646524429321,15,11,False
passent,touchent,0.7708154916763306,None,14,12,False
rythme,plafond,0.6934243440628052,0.5939345955848694,15,11,False
demandent,ignorent,0.6797927021980286,None,13,13,False
utilisent,touchent,0.7504109144210815,0.6356605887413025,14,12,False
centrales,peines,0.7541799545288086,0.6407278776168823,12,14,False
suscite,remplissent,0.6467372179031372,None,13,12,False
facteur,conducteur,0.6878517270088196,0.6804128885269165,14,11,False
tremblement,contraint,0.6444514393806458,None,12,13,False
inondations,tragiques,0.7414180636405945,0.7274252772331238,10,15,False
souches,additifs,0.7813138961791992,0.7281635999679565,13,12,False
perdus,vendus,0.769069254398346,None,11,14,False
