model1 irish_finetuned
{}
model1 <VectorSpaceModel 'irish_finetuned' with 6,441 vectors>
{}
length of vocab: 6441
compliment,congratulate,0.7861831188201904,0.7402706742286682,35,490,True
almost,nearly,0.6886743307113647,0.5652750730514526,73,93,True
changeover,transition,0.403481662273407,None,18,56,True
seven,five,0.857772171497345,0.8282966017723083,60,300,False
mox,nuclear,0.6339834928512573,None,18,287,False
west,north,0.8658900856971741,0.8442333340644836,64,237,False
afternoon,morning,0.8120721578598022,0.8026663064956665,27,264,False
dublin,london,0.6600706577301025,0.5569308400154114,101,158,False
labour,goods,0.530272364616394,0.5050883293151855,128,120,False
sheepmeat,agricultural,0.5140204429626465,None,11,178,False
epp,ppe,0.6785932183265686,0.6741793751716614,10,172,False
hundreds,thousands,0.8893332481384277,0.8781869411468506,31,144,False
january,september,0.7714719772338867,0.7658255100250244,54,121,False
timor,middle,0.8102430701255798,0.7648668885231018,35,128,False
salmon,fish,0.6100009083747864,None,10,143,False
bonemeal,meat,0.5627320408821106,None,10,107,False
byrne,kinnock,0.7247663140296936,0.6811536550521851,32,84,False
europol,geneva,0.49756312370300293,0.45232903957366943,42,70,False
discharges,pollution,0.5112460851669312,None,10,101,False
fischler,kinnock,0.7382694482803345,0.7241957187652588,27,84,False
cop,man,0.4162973165512085,None,10,98,False
experimentation,testing,0.4774816036224365,None,10,94,False
timeframe,timetable,0.6863939762115479,None,10,92,False
nine,seven,0.865109920501709,0.8170512914657593,26,76,False
fmd,bse,0.5635466575622559,0.516789436340332,12,89,False
hague,geneva,0.6922256946563721,0.5439314842224121,30,70,False
infrastructural,infrastructure,0.6174012422561646,None,11,88,False
infrastructures,infrastructure,0.7437390685081482,None,10,88,False
romania,sweden,0.5927234888076782,0.5905898213386536,44,54,False
generally,usually,0.5674477219581604,0.5615694522857666,53,30,False
substantially,significantly,0.7696391344070435,0.7454428672790527,21,61,False
enormous,immense,0.8014229536056519,0.794399619102478,51,28,False
euratom,maastricht,0.6833792924880981,0.5972900390625,36,42,False
centres,technologies,0.5653060674667358,0.4513159990310669,19,59,False
utilise,fulfil,0.6506816148757935,None,16,60,False
cohesive,coherent,0.6097615957260132,None,11,63,False
patenting,patent,0.5521439909934998,None,19,53,False
mccartney,murder,0.6523241400718689,None,31,40,False
kosovo,ethiopia,0.692520022392273,0.6658587455749512,42,27,False
analyse,assess,0.6058006286621094,0.4275531768798828,16,51,False
gnp,gdp,0.628436803817749,0.4538855254650116,12,53,False
criticise,admit,0.5817988514900208,0.5193082690238953,20,42,False
mccreevy,bolkestein,0.7032966613769531,0.6719264388084412,24,38,False
artisanal,organic,0.4197160005569458,None,10,51,False
uen,verts,0.8062286376953125,0.6504189968109131,22,37,False
behaviour,repression,0.5365535020828247,0.44040343165397644,24,34,False
learnt,learned,0.6009255051612854,0.5965176224708557,11,46,False
realised,stopped,0.5265968441963196,0.4976921081542969,10,45,False
shipments,sales,0.564741849899292,None,21,34,False
alde,verts,0.7727366089820862,0.7069157958030701,18,37,False
mainly,mostly,0.6757603883743286,0.6393580436706543,42,12,False
shipment,sale,0.5552444458007812,None,11,41,False
bnfl,chernobyl,0.524474024772644,None,32,18,False
burundi,ethiopia,0.7171780467033386,0.5558427572250366,21,27,False
balkans,aceh,0.6531431674957275,0.4987640976905823,17,28,False
bulgaria,hungary,0.5137560367584229,0.46045559644699097,16,29,False
gallagher,hughes,0.7512879371643066,None,14,30,False
sinn,stalin,0.6269214153289795,None,32,10,False
recognises,recognizes,0.6836005449295044,0.671249270439148,30,12,False
residential,housing,0.5630614757537842,None,11,31,False
tragedies,disasters,0.6661372184753418,None,10,31,False
licence,hizbollah,0.5101263523101807,None,17,24,False
mckenna,behrendt,0.6536415815353394,0.557117760181427,15,25,False
bosnia,latvia,0.5831557512283325,None,14,25,False
schengen,cotonou,0.639410138130188,0.5449203252792358,10,29,False
constantly,continually,0.7556416988372803,0.7234528064727783,21,17,False
mother,daughter,0.8302353620529175,0.8175065517425537,23,14,False
nitrates,contamination,0.47815197706222534,None,16,21,False
beet,vegetable,0.5519862174987793,None,21,15,False
kinnock,schreyer,0.7304962873458862,0.643614649772644,10,25,False
mrls,ldcs,0.5641032457351685,None,10,25,False
nielson,schreyer,0.6204222440719604,0.6101938486099243,10,25,False
lithuania,azerbaijan,0.6151138544082642,None,12,22,False
fluorinated,dioxide,0.5680609941482544,None,21,13,False
thorp,chernobyl,0.6449962854385376,None,15,18,False
hume,matthews,0.6817770004272461,None,16,17,False
erasmus,socrates,0.6429518461227417,0.4846174716949463,17,16,False
flynn,nielson,0.6275297403335571,0.5205245018005371,13,20,False
dementia,diabetes,0.5957621335983276,None,12,20,False
albania,armenia,0.6440718173980713,0.5334679484367371,14,18,False
ryanair,cancelled,0.5932708978652954,None,18,14,False
grant,grants,0.6972060203552246,0.6957414150238037,18,14,False
ethanol,biofuels,0.7252546548843384,None,12,18,False
verheugen,barrot,0.6728710532188416,0.5731055736541748,13,16,False
interreg,socrates,0.6397311687469482,0.5365790128707886,12,16,False
ecj,gothenburg,0.5410431027412415,None,15,10,False
cork,bottle,0.44726330041885376,None,14,11,False
magazine,journal,0.48867106437683105,None,10,14,False
rothley,wogau,0.7218005657196045,0.6820361614227295,13,11,False
famine,starvation,0.6539351344108582,None,10,12,False
smokers,cigarettes,0.5576505064964294,None,12,10,False
trimble,sakharov,0.6395305395126343,None,11,11,False
minimise,mitigate,0.6298255324363708,0.5682010650634766,12,10,False
aarhus,gothenburg,0.5717409253120422,None,11,10,False
